"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/29/2010","80","Ozone","Dawsonville","13-085-0001","AQS"
"04/30/2010","90","Ozone","Dawsonville","13-085-0001","AQS"
"05/01/2010","61","PM2.5","Newnan","13-077-0002","AQS"
"05/02/2010","90","PM2.5","Newnan","13-077-0002","AQS"
"05/03/2010","63","PM2.5","Newnan","13-077-0002","AQS"
"05/04/2010","80","Ozone","Georgia Station","13-231-9991","AQS"
"05/05/2010","119","Ozone","Kennesaw","13-067-0003","AQS"
"05/06/2010","150","Ozone","Conyers","13-247-0001","AQS"
"05/07/2010","143","Ozone","Dawsonville","13-085-0001","AQS"
"05/08/2010","58","PM2.5","South DeKalb","13-089-0002","AQS"
"05/09/2010","46","Ozone","McDonough","13-151-0002","AQS"
