"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/02/2011","172","Ozone","South DeKalb","13-089-0002","AQS"
"07/03/2011","115","Ozone","United Avenue","13-121-0055","AQS"
"07/04/2011","91","PM2.5","Gwinnett","13-135-0002","AQS"
"07/05/2011","122","Ozone","Conyers","13-247-0001","AQS"
"07/06/2011","90","Ozone","McDonough","13-151-0002","AQS"
"07/07/2011","156","Ozone","Gwinnett","13-135-0002","AQS"
"07/08/2011","93","Ozone","Conyers","13-247-0001","AQS"
"07/09/2011","79","PM2.5","Yorkville, King Farm","13-223-0003","AQS"
"07/10/2011","84","Ozone","Douglasville","13-097-0004","AQS"
"07/11/2011","100","Ozone","United Avenue","13-121-0055","AQS"
"07/12/2011","98","PM2.5","United Avenue","13-121-0055","AQS"
"07/13/2011","140","Ozone","McDonough","13-151-0002","AQS"
"07/14/2011","115","Ozone","Yorkville, King Farm","13-223-0003","AQS"
"07/15/2011","64","PM2.5","Yorkville, King Farm","13-223-0003","AQS"
"07/16/2011","55","PM2.5","Yorkville, King Farm","13-223-0003","AQS"
"07/17/2011","55","PM2.5","South DeKalb","13-089-0002","AQS"
"07/18/2011","122","Ozone","United Avenue","13-121-0055","AQS"
"07/19/2011","115","Ozone","McDonough","13-151-0002","AQS"
